Country,Year,Value
Türkiye,2009,509973
Türkiye,2010,528163
Türkiye,2011,552734
Türkiye,2012,617927
Türkiye,2013,656198
Türkiye,2014,673208
Türkiye,2015,645495
Türkiye,2016,718994
Türkiye,2017,756645
Türkiye,2018,761035
Türkiye,2019,797865
Türkiye,2020,874791
Türkiye,2021,874701
Türkiye,2022,871990
Türkiye,2023,898540
